trans_id,trans_date,description,customer_id,name,amount,upper_limit,is_anomaly
2959,2023-04-27,转账,75,客户75,35000.78,25498.82328570691,True
3003,2024-02-03,转账,77,客户77,24598.29,14535.02475594199,True
3039,2023-12-03,理财申购,78,客户78,29683.27,18432.478758309888,True
3074,2023-12-14,取现,79,客户79,34007.28,23117.015319694237,True
3078,2024-02-22,取现,79,客户79,30808.51,23117.015319694237,True
3111,2024-08-24,消费,80,客户80,38204.53,29252.157086616295,True
3177,2023-10-15,还款,82,客户82,45549.86,28634.291981800307,True
3182,2024-02-03,还款,82,客户82,38645.11,28634.291981800307,True
3227,2023-03-06,消费,84,客户84,40006.01,29715.052030260755,True
3259,2024-08-07,理财申购,84,客户84,45815.85,29715.052030260755,True
3276,2024-01-29,还款,84,客户84,31912.46,29715.052030260755,True
3302,2023-11-09,消费,86,客户86,29940.58,25266.928167756003,True
3325,2023-03-08,消费,87,客户87,30080.5,29851.910633033953,True
3339,2023-02-20,取现,88,客户88,34508.88,27652.306378512665,True
3342,2023-04-12,消费,88,客户88,28322.68,27652.306378512665,True
3372,2024-09-03,转账,88,客户88,42701.3,27652.306378512665,True
3391,2023-03-08,理财申购,89,客户89,25980.26,22875.254659113023,True
3411,2023-10-13,取现,89,客户89,33929.51,22875.254659113023,True
3498,2024-11-16,取现,91,客户91,49679.88,28841.651965349858,True
3516,2023-03-05,还款,93,客户93,42364.13,27892.420301803864,True
3567,2024-05-07,取现,94,客户94,25069.55,16058.154135406494,True
3570,2024-06-27,理财申购,94,客户94,21698.96,16058.154135406494,True
3585,2023-06-06,消费,95,客户95,33449.55,21603.03586751463,True
3615,2023-07-21,转账,96,客户96,49519.31,28980.709191084163,True
3659,2023-12-01,消费,97,客户97,48802.29,30210.173897422133,True
3681,2024-10-31,消费,97,客户97,39922.16,30210.173897422133,True
3705,2023-10-11,取现,97,客户97,42674.42,30210.173897422133,True
3735,2024-12-31,理财申购,97,客户97,39342.33,30210.173897422133,True
3769,2024-05-12,理财申购,99,客户99,31569.22,23318.499029746934,True
3814,2024-09-20,取现,99,客户99,49360.73,23318.499029746934,True
